id,name,m_unit_rarity_id,elements,m_world_id,m_master_id,is_active,m_skill_default,m_skill_id_1,m_skill_id_2,m_skill_id_3,m_skill_id_4,min_hp,max_hp,min_atk,max_atk,min_def,max_def,min_mat,max_mat,min_mdf,max_mdf,min_hit,max_hit,min_spd,max_spd,min_tec,max_tec,min_luk,max_luk,m_weapon_id,adv,resource_name,ui_resource_name,width
10010201,六花,1,1|2|3,1,1001,0,23,23,1,1,1,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,10010201,10001,SD_B_001_0201_01,B_001,0
10020201,胡桃,2,1|3|5,1,1002,0,23,23,1,1,1,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,10020201,10002,SD_B_001_0201_01,B_001,0
10030201,雪村恋,3,3|5|8|9,1,1003,0,23,23,1,1,1,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,10030201,10003,SD_B_001_0201_01,B_001,0
10040201,ヒイロ,4,2|5|7,1,1004,0,23,23,1,1,1,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,10040201,10004,SD_B_001_0201_01,B_001,0
10050201,イクサ,5,2,1,1005,1,20,20,1,1,1,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,10050201,10005,SD_B_001_0201_01,B_001,0
10060201,ココロ,6,7,1,1006,0,23,23,1,1,1,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,10060201,10006,SD_B_001_0201_01,B_001,0
10070201,コハク,1,5,1,1007,1,23,23,1,1,1,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,10070201,10007,SD_B_001_0201_01,B_001,0
10080201,ナナコ,2,7|8|9,1,1008,0,23,23,1,1,1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,10080201,10008,SD_B_001_0201_01,B_001,0
10090201,ナミ,3,1|8|9,1,1009,0,23,23,1,1,1,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,10090201,10009,SD_B_001_0201_01,B_001,0
10100201,ニコ,4,8,1,1010,0,23,23,1,1,1,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,10100201,10010,SD_B_001_0201_01,B_001,0
